节点,项目    ,max               ,min               ,ave               ,24小时总计            ,1h                ,2h                ,3h                ,4h                ,5h                ,6h                ,7h                ,8h                ,9h                ,10h               ,11h               ,12h               ,13h               ,14h               ,15h               ,16h               ,17h               ,18h               ,19h               ,20h               ,21h               ,22h              ,23h               ,24h
4 ,新能源出力 ,502               ,0                 ,93.625            ,2247              ,0                 ,0                 ,0                 ,15                ,83                ,17                ,0                 ,9                 ,1                 ,6                 ,49                ,46                ,42                ,88                ,126               ,502               ,500               ,262               ,280               ,68                ,60                ,74               ,19                ,0
4 ,输电线功率 ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0              ,0.0               ,0.0
4 ,电力盈余  ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
4 ,新能源弃电 ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
5 ,负荷    ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
5 ,线潮L5-3,370.397321753544  ,-301.3648567020145,235.68191493138423,5656.365958353222 ,285.64012354486096,259.5842177946851 ,259.5842177946851 ,270.3162803827623 ,295.9630862147581 ,270.27353886943024,259.5212725692615 ,267.47919688477276,363.3660978778709 ,363.9009916107068 ,330.665646672777  ,239.96263466986667,52.581050448277054,-301.3648567020145,47.45971132635727 ,214.5972776277238 ,179.1409420568352 ,34.05123534804228 ,312.26610234965307,338.13513380553434,359.22651723306257,370.397321753544 ,297.97809467490896,285.64012354486096
5 ,线潮L5-4,649.3990654002589 ,14.568686273916757,165.89149133703566,3981.395792088856 ,129.40571930622752,105.45192288966597,105.45192288966597,94.71981954122448 ,14.568686273916757,94.76254935594599 ,105.51486865387625,97.556936718582   ,176.70579903507058,167.6700303895069 ,137.39781663027762,205.5983531003856 ,453.505129886723  ,649.3990654002589 ,398.11766381675017,30.949040943075893,65.40547544069727 ,290.00707610942015,84.80395583226051 ,127.42824646614845,105.83648580903751,94.6656300280515 ,117.06787826585926,129.40571930622752
5 ,火电装机  ,1500              ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
5 ,新能源装机 ,170               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
5 ,风电装机  ,0                 ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
5 ,光伏装机  ,170               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
5 ,火电出力  ,1080.0            ,480.0             ,799.0833333333334 ,19178.0           ,830.0             ,730.0             ,730.0             ,730.0             ,621.0             ,730.0             ,730.0             ,730.0             ,1080.0            ,1063.0            ,935.0             ,886.0             ,1003.0            ,680.0             ,880.0             ,480.0             ,480.0             ,630.0             ,780.0             ,930.0             ,930.0             ,930.0            ,830.0             ,830.0
5 ,新能源出力 ,18                ,0                 ,3.9583333333333335,95                ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,1                 ,5                 ,9                 ,16                ,11                ,11                ,9                 ,18                ,14                ,1                 ,0                 ,0                ,0                 ,0
5 ,输电线功率 ,97.53999999999999 ,0.0               ,4.064166666666666 ,97.53999999999999 ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,97.53999999999999 ,0.0               ,0.0               ,0.0               ,0.0               ,0.0              ,0.0               ,0.0
5 ,电力盈余  ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
5 ,新能源弃电 ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
